customer_age,annual_income_k,credit_score,purchase_frequency,avg_transaction_value,days_since_last_purchase,total_return_amount,num_support_tickets,website_visits_30d,email_open_rate_pct,customer_lifetime_value,cancellation_risk_score,customer_segment,payment_method,subscription_tier,country_code,device_type,browser,gender,employment_status,marital_status,education_level,signup_date,last_login,subscription_end_date,customer_feedback,promo_code_used,referral_source,customer_status,timezone,newsletter_subscribed,messy_column_01,messy_column_02,messy_column_03,messy_column_04,messy_column_05,messy_column_06,messy_column_07,messy_column_08,messy_column_09,messy_column_10,messy_column_11,messy_column_12,messy_column_13,messy_column_14,messy_column_15,messy_column_16,messy_column_17,messy_column_18,messy_column_19,messy_column_20,messy_column_21,messy_column_22,messy_column_23,messy_column_24,messy_column_25,messy_column_26,messy_column_27,messy_column_28,messy_column_29,messy_column_30
26.0,62.5,591.0,,30.79,10.0,64.2,,83.0,48.5,,77.8,Budget,Bank Transfer,Free,IT,Desktop,Safari,MALE,Full-time,,Bachelor's,"Jul 20, 2024",2026-03-05 20:20:27,2027-02-21,N/A,WELCOME10,Twitter,deleted,unknown,subscribed,null,,value_6,unknown,???,NaN,NaN,N/A,NaN,???,value_2,,null,unknown,missing,unknown,value_8,???,null,missing,,,null,value_4,???,,missing,,,null
,86.2,707.0,,68.58,19.0,219.11,0.0,200.0,48.9,222.43,,Premium,crypto,NULL,IN,Android Phone,unknown,FEMALE,Part-time,Married,phd,2025-07-30,2026-04-11 20:20:27,20260627,So-so,,Email,Active,,unsubscribed,,value_1,unknown,null,,missing,NaN,NaN,???,value_1,,missing,,,unknown,,N/A,missing,N/A,value_7,,,unknown,N/A,unknown,???,NaN,???,???,
41.0,120.3,631.0,,,4.0,178.15,,5.0,,100.0,38.0,Unknown,NA,Enterprise,CA,,Edge,F,pt,Widowed,High School,"Aug 07, 2025",2026-03-25 20:20:27,"Nov 08, 2025",not bad,FLASH50,,Inactive,AST,,value_1,N/A,null,null,missing,value_10,unknown,N/A,null,,value_1,unknown,missing,unknown,null,unknown,NaN,N/A,unknown,,null,,unknown,unknown,???,???,N/A,,missing,???
38.0,20.0,716.0,13.0,51.82,7.0,127.75,0.0,1.0,,1641.08,23.6,premium (legacy),??,Pro,us,Android Phone,null,F,pt,,Bachelor's,07/17/2024,2026-02-09 20:20:27,20260723,Good service,,Google,NULL,MST,Yes,,,NaN,value_6,unknown,???,value_4,???,unknown,,value_7,,,unknown,missing,missing,unknown,???,NaN,???,N/A,missing,N/A,null,value_6,null,NaN,value_1,null,
23.0,21.9,,8.0,55.81,0.0,93.6,1.0,1.0,33.1,100.0,83.4,premium (legacy),Credit Card,Enterprise,CA,PC,chrome mobile,NA,Full-time,NULL,PhD,07/02/2025,2026-04-07 20:20:27,"Apr 12, 2027",NaN,,,Inactive,PST,true,null,unknown,N/A,value_4,???,missing,,value_9,N/A,N/A,unknown,null,null,???,value_9,,???,???,NaN,value_1,missing,null,???,value_9,value_1,,,N/A,,
,20.0,676.0,11.0,51.64,16.0,139.01,,1.0,35.7,1807.38,15.1,premium (legacy),PayPal,expired,N/A,Android Phone,Edge,M,Unemployed,Divorced,phd,20240628,2026-03-03 20:20:27,22/06/2026,,WELCOME10,Facebook,active?,,,N/A,null,NaN,N/A,null,unknown,,???,missing,NaN,,missing,NaN,NaN,,NaN,,missing,value_1,???,N/A,NaN,,NaN,,null,value_4,N/A,???,
41.0,66.7,727.0,,7.72,48.0,46.21,0.0,,20.8,124.94,60.4,Premium,NA,Pro,N/A,Tablet,unknown,,Unemployed,Married,hs,31/01/2025,2026-04-16 20:20:27,NULL,★★★★☆,expired,direct,Suspended,N/A,Yes,null,,unknown,???,unknown,,,null,,null,NaN,,???,,null,null,missing,missing,???,NaN,N/A,???,value_8,???,NaN,missing,missing,,unknown,missing
32.0,30.1,618.0,15.0,44.44,101.0,188.23,1.0,1.0,42.1,,95.3,,Bank Transfer,Trial,FR,Mobile (iOS),Chrome,Prefer not to say,Student,Single,phd,02/06/2024,2026-03-26 20:20:27,18/07/2026,,FLASH50,Facebook,pending,,F,N/A,,null,,N/A,N/A,NaN,null,value_7,unknown,,unknown,,,unknown,N/A,value_3,missing,unknown,null,missing,value_10,,NaN,NaN,unknown,???,null,missing,
39.0,,,20.0,11.9,52.0,129.46,0.0,,39.7,,16.0,,PayPal,Trial,,laptop,unknown,NA,Self-employed,separated,Master's,,invalid date,NULL,N/A,expired,Friend,active?,PST,unsubscribed,???,missing,unknown,???,value_6,,value_10,???,missing,,missing,unknown,unknown,N/A,value_7,,null,N/A,,null,NaN,null,null,N/A,missing,unknown,???,missing,NaN,missing
,30.2,678.0,17.0,154.44,68.0,85.35,0.0,1.0,48.1,11012.51,84.4,N/A,NA,?,ES,PC,Edge,male,ft,separated,PhD,2024-08-17,2026-01-27 20:20:27,NULL,Terrible support,,,active?,EST,F,N/A,null,???,null,,value_3,???,null,missing,???,null,NaN,null,,???,,,???,???,,value_8,???,,,unknown,null,null,unknown,NaN,???
43.0,20.0,666.0,11.0,8825.217689033696,8.0,103.19,,,49.2,191.59,34.1,Unknown,??,?,BR,laptop,Edge,FEMALE,Part-time,Divorced,phd,2025-12-04,2026-02-01 20:20:27,03/15/2027,NaN,INVALID,direct,Suspended,UTC,subscribed,NaN,null,,,NaN,missing,unknown,???,N/A,,value_9,,???,???,missing,value_9,missing,,unknown,???,missing,unknown,null,,NaN,,,NaN,null,unknown
41.0,260.0,662.0,6.0,63.74,,,3.0,25.0,,100.0,56.9,N/A,Bank Transfer,?,ES,Desktop,Firefox,F,Retired,,hs,01/09/2025,2026-03-21 20:20:27,2027-03-11,meh,,direct,Active,AST,subscribed,unknown,NaN,missing,unknown,missing,N/A,NaN,missing,null,missing,value_2,missing,value_8,NaN,???,unknown,,,unknown,value_6,,NaN,,,???,value_7,missing,NaN,N/A,value_4
18.0,20.0,644.0,8.0,37.84,13.0,164.5,1.0,,31.7,796.32,40.4,Budget,PayPal,NULL,AU,Mobile (iOS),Opera,M,ft,Divorced,Associate,22/02/2026,2026-01-28 20:20:27,20260128,Terrible support,None,unknown,Suspended,N/A,0,,unknown,???,NaN,null,missing,unknown,NaN,unknown,NaN,missing,,value_10,NaN,,N/A,missing,N/A,unknown,???,,N/A,,missing,null,,,value_1,value_3,
56.0,,736.0,12.0,35.52,,65.67,5.0,1.0,58.3,1557.78,48.7,N/A,,Trial,ES,???,null,,Full-time,separated,,11/15/2025,2026-02-03 20:20:27,"Jul 29, 2026",null,None,,Active,unknown,0,NaN,,NaN,N/A,unknown,null,unknown,NaN,???,unknown,,unknown,???,value_9,,missing,???,value_3,,value_9,NaN,unknown,,N/A,value_5,???,null,missing,missing,unknown
30.0,3475.6953745715728,765.0,13.0,7.66,3.0,,0.0,1.0,21.5,134.82,2.8,Enterprise,,Free,N/A,Desktop,Chrome,,pt,Single,PhD,08/05/2025,2026-04-09 20:20:27,NULL,,,Email,deleted,N/A,0,null,missing,value_2,null,null,,N/A,,,N/A,???,unknown,???,NaN,NaN,N/A,N/A,null,,NaN,N/A,value_3,value_4,unknown,unknown,???,NaN,,,missing
,20.0,598.0,,14.02,3.0,,,1.0,43.2,,88.6,premium (legacy),PayPal,Enterprise,DE,Desktop,Opera,Non-binary,Part-time,Widowed,hs,23/06/2025,2026-03-23 20:20:27,"Nov 11, 2026",Great product!,SAVE20,direct,Inactive,N/A,,missing,,unknown,value_7,???,,missing,???,NaN,missing,NaN,unknown,unknown,???,N/A,unknown,missing,value_5,missing,???,NaN,,missing,N/A,null,missing,N/A,,,null
47.0,90.8,680.0,15.0,29.26,1.0,79.68,,,41.0,515.04,,Enterprise,,basic+,N/A,Android Phone,safari (old),,?,,High School,2024-07-07,invalid date,NULL,,,Twitter,NULL,MST,No,null,unknown,,,unknown,missing,value_8,???,NaN,missing,NaN,,NaN,null,null,,unknown,,unknown,NaN,N/A,value_9,???,???,N/A,unknown,missing,NaN,null,N/A
32.0,,642.0,22.0,,43.0,,1.0,1.0,29.3,141.24,,Enterprise,crypto,Basic,de,Android Phone,Chrome,Non-binary,ft,Single,Associate,20240428,2026-01-20 20:20:27,11/01/2027,N/A,SAVE20,N/A,pending,GMT,false,N/A,,missing,null,,,,???,N/A,,N/A,missing,value_10,unknown,NaN,N/A,N/A,???,,null,,unknown,,,NaN,unknown,,???,null,N/A
65.0,4683.482826666553,,10.0,,,116.08,,5.0,41.7,1566.92,75.0,Unknown,,Free,DE,Mobile,unknown,NA,ft,single (never married),ms,20251106,2026-04-09 20:20:27,NULL,NaN,expired,unknown,deleted,HST,Yes,null,,NaN,NaN,missing,???,???,,NaN,missing,unknown,???,,,value_10,missing,null,,null,???,unknown,N/A,missing,value_8,N/A,value_2,missing,NaN,value_8,null
42.0,20.0,567.0,,198.28,63.0,129.29,,,,163.74,76.7,Budget,NA,Free,,,Edge,FEMALE,Retired,Married,phd,"Jul 07, 2024",2026-02-23 20:20:27,NULL,meh,??,Friend,Active,PST,,???,,,missing,N/A,NaN,value_9,???,NaN,,???,NaN,,NaN,missing,???,value_1,,NaN,N/A,unknown,,value_6,missing,NaN,missing,???,unknown,missing,missing
27.0,60.6,707.0,17.0,30.16,40.0,203.21,,21.0,,210.91,,,Bank Transfer,?,BR,laptop,Opera,Prefer not to say,Full-time,Divorced,Some College,11/16/2024,2026-03-31 20:20:27,01/01/2026,★★★★☆,WELCOME10,Facebook,,HST,Yes,,NaN,NaN,missing,,unknown,N/A,missing,missing,???,null,null,???,,value_8,missing,???,missing,,missing,???,NaN,unknown,???,unknown,missing,???,???,NaN,unknown
47.0,47.1,620.0,16.0,,,22.88,1.0,2.0,35.5,269.73,61.2,N/A,PayPal,Basic,au,laptop,safari (old),NA,Part-time,Widowed,PhD,,2026-03-15 20:20:27,16/01/2027,★★★★☆,expired,,Inactive,PST,,null,value_6,unknown,N/A,value_4,missing,,missing,value_1,unknown,NaN,???,,null,,,N/A,N/A,unknown,???,null,NaN,unknown,value_7,,null,,,,value_8
43.0,20.0,638.0,18.0,18.19,48.0,83.03,0.0,2.0,37.1,229.13,61.1,,Credit Card,Basic,ES,Desktop,unknown,,Full-time,NULL,bs,"May 10, 2024",2026-03-30 20:20:27,2026-05-23,Terrible support,??,Google,deleted,,subscribed,NaN,value_7,???,null,unknown,value_4,null,NaN,,,null,missing,NaN,,,missing,null,,NaN,N/A,N/A,N/A,???,value_2,unknown,,missing,,value_1,???
33.0,20.5,,,21.04,9.0,13.88,0.0,6.0,31.4,478.1,35.5,null,Bank Transfer,basic+,JP,laptop,Safari,,?,Single,Master's,10/01/2025,2026-01-26 20:20:27,NULL,👍,FLASH50,Email,deleted,HST,false,missing,???,unknown,NaN,value_9,missing,value_2,,unknown,,NaN,null,N/A,value_8,NaN,missing,NaN,missing,missing,value_1,???,N/A,,NaN,,,value_10,,???,
,37.8,,4.0,20.46,15.0,,2.0,2.0,39.4,26124.749455102832,12.8,Budget,??,Free,UK,Mobile (iOS),unknown,,N/A,separated,PhD,10/04/2025,invalid date,"Oct 29, 2025",,expired,Podcast,Inactive,unknown,subscribed,unknown,NaN,,unknown,N/A,,,NaN,???,null,unknown,N/A,,unknown,NaN,null,null,value_2,,???,,NaN,NaN,null,value_6,unknown,???,,,???
85.0,20.0,651.0,9.0,18.01,12.0,18.28,1.0,4.0,45.6,2547.64,20.8,Enterprise,crypto,Basic,UK,PC,Chrome,Non-binary,pt,separated,Some College,06/05/2025,2026-02-12 20:20:27,20260128,,,Facebook,Churned,GMT,No,null,NaN,missing,missing,value_9,missing,missing,value_8,,???,,null,NaN,value_3,value_5,value_1,unknown,NaN,,null,???,???,NaN,value_5,,null,,unknown,,N/A
,101.4,741.0,14.0,258.53,32.0,97.58,,1.0,57.1,646.95,68.6,null,crypto,Trial,,Android Phone,safari (old),female,Unemployed,Single,hs,,2026-03-06 20:20:27,20260622,Too expensive,WELCOME10,Twitter,deleted,GMT,subscribed,,,,value_10,missing,,,,,???,missing,missing,NaN,???,value_9,N/A,NaN,null,unknown,value_8,value_4,NaN,???,,null,null,???,,unknown,
34.0,78.9,733.0,15.0,99.56,31.0,,4.0,1.0,30.5,,64.2,Standard,PayPal,Basic,IT,Mobile (iOS),Edge,MALE,Self-employed,NULL,Bachelor's,"Dec 04, 2024",2026-03-18 20:20:27,01/19/2026,,INVALID,Podcast,Inactive,N/A,1,NaN,value_1,unknown,null,missing,unknown,value_9,NaN,,NaN,null,value_5,value_9,,???,value_3,???,N/A,???,,???,N/A,,,missing,null,N/A,unknown,N/A,unknown
28.0,20.0,786.0,13.0,5.0,,105.17,1.0,3.0,44.3,100.0,20.3,null,crypto,basic+,AU,Mobile,Safari,F,ft,,,12/04/2025,2026-02-10 20:20:27,30/03/2027,Could be better,INVALID,,active?,,No,???,value_4,N/A,???,,,unknown,???,,,null,,unknown,???,value_9,,null,missing,???,???,???,,,,???,missing,,???,N/A,value_3
24.0,46.0,708.0,17.0,5.72,10.0,105.51,4.0,2.0,45.5,,27.2,premium (legacy),Bank Transfer,Pro,BR,Tablet,Chrome,female,N/A,Married,bs,,2026-02-10 20:20:27,2027-03-21,Great product!,,Podcast,pending,N/A,subscribed,???,???,missing,???,NaN,null,,NaN,,N/A,N/A,missing,value_3,unknown,value_9,unknown,,,,missing,,unknown,null,value_10,,,value_8,,value_10,value_9
71.0,,718.0,21.0,126.84,24.0,103.71,1.0,1.0,40.7,100.0,48.2,Enterprise,,Enterprise,BR,laptop,Chrome,,?,Divorced,PhD,2026-02-06,2026-02-23 20:20:27,NULL,Could be better,,Podcast,Churned,AST,0,N/A,value_9,N/A,,NaN,unknown,unknown,,null,NaN,,,value_9,value_9,N/A,,???,,null,,N/A,,null,NaN,value_1,???,unknown,,null,
30.0,20.2,637.0,14.0,112.15,7.0,7.74,,1.0,55.3,209.98,73.1,Unknown,,basic+,IN,Android Phone,Safari,NA,Retired,single (never married),hs,"Mar 04, 2025",2026-02-27 20:20:27,26/02/2026,null,INVALID,direct,Inactive,MST,F,value_1,NaN,N/A,null,unknown,value_1,unknown,unknown,missing,???,,???,NaN,missing,NaN,,missing,???,,missing,NaN,???,N/A,null,???,missing,,,unknown,NaN
63.0,49.8,720.0,15.0,,,35.71,2.0,,29.9,2076.78,64.7,Standard,,Trial,??,???,null,Prefer not to say,pt,separated,Associate,,2026-03-17 20:20:27,02/14/2027,,FLASH50,Google,Active,PST,Yes,N/A,???,value_5,value_5,missing,,???,,missing,NaN,,null,,,,N/A,NaN,null,null,???,value_6,NaN,N/A,missing,???,unknown,null,unknown,NaN,
47.0,147.9,662.0,19.0,14.92,,,0.0,1.0,32.4,279.43,71.5,null,Credit Card,Basic,IN,,Edge,,?,NULL,Associate,2024-12-02,invalid date,NULL,meh,FLASH50,Google,NULL,,true,missing,NaN,N/A,unknown,null,missing,NaN,,,value_6,NaN,NaN,unknown,missing,N/A,???,,???,NaN,???,value_6,???,N/A,value_5,,missing,missing,???,,NaN
53.0,20.0,659.0,16.0,23.8,7.0,228.51,1.0,2.0,23.0,,34.7,,NA,Pro,JP,Android Phone,Safari,F,pt,separated,,,invalid date,2026-08-29,,??,Podcast,Active,,F,missing,missing,value_8,???,N/A,NaN,N/A,NaN,null,value_1,NaN,???,value_10,value_5,???,unknown,,missing,,N/A,NaN,N/A,,N/A,???,unknown,,value_6,,value_1
27.0,20.0,572.0,18.0,10.82,,95.27,,11.0,16.5,129.85,10.0,premium (legacy),PayPal,?,??,Tablet,Chrome,Prefer not to say,Unemployed,Married,bs,20240728,2026-02-17 20:20:27,11/06/2025,Could be better,expired,Google,active?,MST,unsubscribed,???,N/A,unknown,,,N/A,N/A,value_1,NaN,unknown,???,NaN,N/A,???,null,N/A,,unknown,null,???,N/A,NaN,NaN,missing,,,N/A,value_1,unknown,
32.0,22.3,607.0,12.0,61.75,32.0,204.35,1.0,1.0,34.8,,36.1,N/A,Credit Card,Pro,BR,PC,unknown,M,Part-time,,phd,08/17/2025,2026-03-04 20:20:27,20/12/2026,WILL NEVER BUY AGAIN,expired,direct,pending,,Yes,null,N/A,,unknown,NaN,???,,NaN,,unknown,value_6,N/A,value_6,value_1,N/A,,,unknown,value_8,value_9,N/A,value_5,N/A,null,N/A,,value_6,null,,N/A
52.0,,599.0,14.0,13.6,86.0,250.05,2.0,1.0,33.3,,37.0,Unknown,??,Trial,br,,Firefox,FEMALE,Unemployed,separated,hs,2025-09-01,2026-01-28 20:20:27,03/17/2027,Terrible support,??,Twitter,Suspended,EST,,null,N/A,???,,value_8,unknown,,,???,NaN,unknown,NaN,,,null,N/A,???,,,missing,NaN,value_7,???,,missing,null,???,NaN,,???
55.0,89.6,,12.0,60.68,7.0,,1.0,4.0,40.7,325.21,62.0,Standard,,Trial,n/a,???,Edge,,N/A,Single,Associate,"Apr 19, 2026",2026-03-31 20:20:27,02/01/2026,Great product!,,Podcast,deleted,PST,false,N/A,,NaN,value_9,unknown,value_4,NaN,NaN,???,???,missing,N/A,value_4,N/A,null,value_2,,null,,NaN,NaN,null,N/A,N/A,missing,,value_3,unknown,NaN,missing
46.0,191.7,539.0,20.0,97.74,26.0,111.16,,,,1941.53,24.4,,Bank Transfer,Trial,,,Opera,,Self-employed,,,"Jul 11, 2024",2026-03-10 20:20:27,2026-08-07,Great product!,,Facebook,Inactive,GMT,true,missing,,value_4,NaN,NaN,unknown,null,,null,,missing,missing,unknown,,,value_7,N/A,,N/A,null,value_3,,,null,???,value_6,,unknown,???,
59.0,83.5,614.0,15.0,191.99,8.0,31.41,8.0,1.0,19.6,,65.8,Standard,Credit Card,expired,N/A,???,Firefox,M,Full-time,Single,Bachelor's,31/03/2025,2026-03-01 20:20:27,20270302,Good service,expired,N/A,,PST,subscribed,???,unknown,,,null,value_4,null,unknown,unknown,unknown,,,missing,N/A,N/A,,null,,,,???,,missing,N/A,,null,null,,???,N/A
20.0,,633.0,17.0,47.06,38.0,80.4,,61.0,29.6,299.07,,Premium,,basic+,DE,Tablet,unknown,female,N/A,Married,ms,"Apr 29, 2024",invalid date,"Nov 07, 2026",Good service,SAVE20,,,,No,,N/A,,,null,,NaN,N/A,NaN,unknown,null,missing,N/A,unknown,value_5,missing,,,,null,,missing,value_8,missing,missing,missing,???,value_4,value_10,NaN
42.0,50.7,728.0,17.0,18.0,57.0,,2.0,,34.5,788.63,2.9,Enterprise,crypto,Pro,,Tablet,safari (old),F,Unemployed,NULL,Master's,"Jul 05, 2025",2026-04-15 20:20:27,21/03/2027,Could be better,,,NULL,GMT,unsubscribed,value_2,,N/A,,value_10,,N/A,N/A,N/A,,null,,,???,value_8,NaN,???,null,unknown,,value_8,value_7,???,null,???,???,NaN,missing,N/A,missing
36.0,20.0,,15.0,21.46,,92.06,6.0,1.0,10.5,2307.22,17.5,Enterprise,NA,NULL,AU,Desktop,chrome mobile,FEMALE,Full-time,separated,Associate,"Feb 27, 2026",2026-02-18 20:20:27,"Aug 25, 2026",Good service,,Google,Churned,unknown,,???,,unknown,NaN,,NaN,,,???,,missing,missing,unknown,,missing,N/A,null,,,,unknown,NaN,value_4,???,missing,,,null,missing,N/A
48.0,55.9,769.0,13.0,27.22,59.0,25.05,0.0,,43.5,168.78,75.2,premium (legacy),crypto,Pro,US,Desktop,chrome mobile,,Part-time,separated,ms,"Dec 02, 2025",2026-02-05 20:20:27,NULL,So-so,FLASH50,,Churned,PST,true,value_9,???,value_3,NaN,missing,,missing,???,,NaN,???,value_5,missing,null,???,null,NaN,,NaN,,unknown,unknown,value_8,,,???,value_1,???,NaN,N/A
51.0,,723.0,,,,117.59,0.0,,37.6,1048.39,97.3,Unknown,Cash,?,JP,Tablet,Opera,Prefer not to say,N/A,Divorced,Some College,20250124,2026-03-15 20:20:27,2026-07-01,★★★★☆,SAVE20,Google,Active,AST,unsubscribed,null,null,,???,missing,value_5,NaN,missing,missing,N/A,???,null,value_9,N/A,???,???,value_1,,NaN,,NaN,,unknown,null,???,unknown,N/A,missing,value_1,???
46.0,64.1,676.0,11.0,,22.0,,0.0,1.0,43.0,,4.8,null,PayPal,expired,FR,Mobile (iOS),Firefox,Non-binary,N/A,Single,Bachelor's,2024-11-26,2026-02-23 20:20:27,02/04/2027,N/A,None,Google,NULL,PST,,NaN,missing,,???,NaN,missing,NaN,NaN,value_2,???,unknown,,,null,missing,value_1,value_8,value_7,missing,???,value_10,missing,,missing,N/A,null,NaN,null,missing,value_10
42.0,70.2,645.0,16.0,49.43,62.0,79.48,0.0,1.0,51.3,4027.63,20.7,Premium,,Pro,BR,Mobile,null,FEMALE,Self-employed,Married,,08/11/2024,2026-03-26 20:20:27,"Mar 30, 2027",,??,Friend,NULL,EST,subscribed,missing,,null,,null,,null,,???,missing,unknown,???,value_1,unknown,,,missing,,,???,N/A,,N/A,NaN,,N/A,N/A,???,,N/A
41.0,22.7,739.0,8.0,32.78,1.0,79.07,,2.0,,100.0,41.8,Standard,PayPal,Pro,DE,Mobile,Chrome,male,Student,NULL,Master's,05/02/2025,2026-02-05 20:20:27,"Mar 19, 2026",WILL NEVER BUY AGAIN,INVALID,unknown,Churned,HST,,,null,,null,value_7,null,null,???,N/A,NaN,N/A,???,NaN,unknown,,???,N/A,missing,unknown,N/A,NaN,value_10,value_8,N/A,NaN,???,NaN,value_3,missing,
40.0,20.0,645.0,22.0,13.24,56.0,60.72,2.0,3.0,59.5,196.2,18.0,premium (legacy),,?,,Mobile,Edge,FEMALE,pt,Single,ms,,2026-02-03 20:20:27,17/02/2027,null,None,Twitter,deleted,EST,Yes,N/A,missing,N/A,value_10,,NaN,N/A,value_1,,missing,null,null,null,missing,???,,missing,,,NaN,NaN,,missing,null,missing,N/A,N/A,???,value_4,
,68.4,680.0,15.0,11.63,58.0,66.03,2.0,5.0,55.7,100.0,20.8,Unknown,Cash,Free,DE,PC,Safari,Prefer not to say,part-time,Single,ms,2024-10-28,invalid date,NULL,Could be better,,direct,active?,CST,subscribed,???,unknown,NaN,NaN,???,NaN,null,missing,,N/A,value_2,N/A,,value_1,,???,,,,,null,unknown,unknown,,NaN,,NaN,NaN,???,unknown
,29.8,761.0,14.0,130.69,23.0,,5.0,1.0,27.3,1114.01,28.2,Budget,NA,Trial,ES,laptop,Edge,FEMALE,?,Divorced,PhD,04/13/2026,invalid date,2025-10-27,So-so,expired,,NULL,MST,No,unknown,null,value_5,,N/A,null,,NaN,unknown,null,null,,NaN,,N/A,value_9,N/A,???,N/A,NaN,NaN,NaN,null,N/A,N/A,null,???,NaN,N/A,???
55.0,94.2,735.0,14.0,17.52,2.0,56.83,3.0,3.0,26.5,325.97,40.4,Standard,crypto,NULL,IT,Tablet,safari (old),F,ft,,bs,,2026-02-26 20:20:27,16/02/2026,Too expensive,??,unknown,Active,HST,subscribed,value_9,value_10,,value_2,N/A,???,???,NaN,unknown,N/A,NaN,null,missing,,unknown,N/A,N/A,null,unknown,???,missing,null,N/A,null,null,,,null,N/A,???
60.0,30.0,602.0,18.0,229.73,13.0,102.33,1.0,1.0,,,30.0,Budget,PayPal,Trial,N/A,Desktop,chrome mobile,,Self-employed,Married,Associate,11/28/2024,invalid date,NULL,Could be better,INVALID,,Churned,,subscribed,???,missing,N/A,unknown,N/A,unknown,unknown,value_3,???,???,,NaN,unknown,,,,null,NaN,missing,null,unknown,NaN,unknown,value_7,N/A,???,N/A,???,NaN,
30.0,74.1,665.0,18.0,8.83,82.0,85.41,6.0,1.0,37.9,3330.06,19.4,N/A,,NULL,DE,Desktop,null,,ft,,hs,20260113,2026-03-19 20:20:27,12/03/2027,N/A,expired,Twitter,pending,,0,,missing,null,null,,unknown,NaN,missing,null,unknown,null,,null,null,NaN,,null,N/A,unknown,value_9,???,N/A,,value_7,missing,value_3,N/A,value_8,null,
77.0,4308.46535217,648.0,14.0,18783.74462786433,7.0,159.96,,1.0,36.0,19111.78,64.4,Budget,crypto,?,ES,Mobile,unknown,F,Retired,Divorced,bs,,2026-01-29 20:20:27,02/28/2026,Terrible support,,Email,Suspended,N/A,subscribed,null,,unknown,,unknown,N/A,,unknown,,unknown,NaN,null,,null,value_1,???,null,value_10,N/A,unknown,N/A,???,,,unknown,missing,N/A,NaN,NaN,N/A
21.0,66.5,699.0,10.0,75.84,23.0,49.79,3.0,1.0,39.7,676.24,51.7,premium (legacy),,Trial,BR,PC,Firefox,male,full-time,separated,High School,"Dec 20, 2024",2026-01-26 20:20:27,20260215,Great product!,FLASH50,Facebook,Inactive,N/A,T,,NaN,NaN,,,unknown,unknown,NaN,value_5,N/A,unknown,unknown,value_10,unknown,NaN,value_9,unknown,,N/A,unknown,value_4,N/A,???,NaN,N/A,,???,value_7,missing,???
32.0,,684.0,15.0,46.87,7.0,84.93,,1.0,18.1,4568.83,17.0,Premium,NA,Free,US,laptop,unknown,FEMALE,Self-employed,separated,High School,20260212,2026-03-24 20:20:27,2026-10-24,👍,FLASH50,Facebook,active?,,No,null,???,value_10,missing,value_4,NaN,missing,,???,,N/A,missing,null,,???,NaN,,unknown,???,NaN,missing,missing,,N/A,N/A,???,null,,missing,value_10
65.0,29.6,628.0,10.0,36.76,33.0,26.24,1.0,1.0,20.8,185.24,42.1,null,PayPal,Pro,n/a,Desktop,chrome mobile,F,pt,single (never married),Master's,20240914,2026-03-16 20:20:27,NULL,So-so,WELCOME10,Twitter,Inactive,AST,T,???,NaN,value_3,N/A,missing,missing,N/A,NaN,missing,N/A,,value_8,NaN,missing,N/A,NaN,NaN,???,???,N/A,missing,unknown,null,N/A,,,???,value_8,,null
40.0,41.7,708.0,21.0,7.9,1.0,168.68,0.0,1.0,29.1,,,Unknown,,Basic,IN,Mobile,safari (old),FEMALE,part-time,Divorced,phd,20260315,2026-02-25 20:20:27,NULL,N/A,FLASH50,Podcast,Churned,GMT,0,,N/A,null,unknown,,missing,missing,,???,null,missing,value_1,???,unknown,N/A,,value_4,NaN,NaN,,unknown,value_6,N/A,missing,unknown,missing,null,unknown,???,???
40.0,212.4,618.0,16.0,48.6,3.0,67.1,0.0,2.0,,60062.13600465773,40.1,Standard,NA,Free,IT,Mobile,unknown,male,Unemployed,single (never married),PhD,2024-08-23,2026-03-09 20:20:27,12/12/2026,Too expensive,expired,direct,deleted,CST,T,value_5,null,,N/A,unknown,value_1,unknown,???,NaN,unknown,N/A,,,N/A,,null,missing,null,N/A,missing,null,value_1,null,???,missing,NaN,,null,missing,???
47.0,144.3,711.0,18.0,,,90.07,,,,,,Budget,crypto,basic+,AU,???,safari (old),male,?,Single,Some College,,2026-04-05 20:20:27,10/25/2025,NaN,None,Podcast,Active,HST,false,,unknown,N/A,N/A,null,,???,???,missing,N/A,,N/A,missing,,unknown,value_5,unknown,value_6,value_2,unknown,value_2,unknown,,N/A,NaN,,NaN,missing,N/A,value_2
35.0,74.9,647.0,11.0,13.74,,,3.0,,27.9,5102.6344110155405,42.1,Budget,,Free,??,???,safari (old),F,pt,Single,PhD,26/10/2025,2026-02-16 20:20:27,NULL,,INVALID,Twitter,Suspended,CST,false,unknown,null,value_10,NaN,value_2,???,null,value_1,missing,unknown,null,NaN,null,N/A,,value_2,null,???,,null,,null,NaN,???,N/A,missing,unknown,,N/A,
33.0,20.0,758.0,18.0,16.42,,155.53,2.0,1.0,,1493.81,30.0,Unknown,PayPal,Trial,UK,laptop,Edge,FEMALE,pt,NULL,Master's,04/01/2025,2026-03-21 20:20:27,20260117,not bad,FLASH50,,NULL,N/A,true,missing,,,N/A,missing,,,???,missing,???,,missing,value_7,NaN,missing,value_2,N/A,missing,N/A,,missing,,NaN,???,???,unknown,unknown,,value_8,???
